Ward ID,Ward/Office,Council Member,Journal Date,Vendor,Expense Type,Description,Account,Amount
12,St. Boniface,Daniel Vandal,01/01/2014,City of Winnipeg - Journal Entry,,Reverse Payroll Accrual Je 292451 (Record Accrued Salaries For Council Executive Assistants),Non-Professional Services,-595.95
13,Transcona,Russ Wyatt,01/01/2014,City of Winnipeg - Journal Entry,,Reverse Payroll Accrual Je 292451 (Record Accrued Salaries For Council Executive Assistants),Non-Professional Services,-326.21
14,Elmwood - East Kildonan,Thomas Steen,01/01/2014,City of Winnipeg - Journal Entry,,Reverse Payroll Accrual Je 292451 (Record Accrued Salaries For Council Executive Assistants),Non-Professional Services,-1016.04
15,North Kildonan,Jeff Browaty,01/01/2014,City of Winnipeg - Journal Entry,,Reverse Payroll Accrual Je 292451 (Record Accrued Salaries For Council Executive Assistants),Non-Professional Services,-296.00
0,Mayor's Office,Sam Katz,01/01/2014,MTS Communications,Mayor's Expenses,MTS Account,Telephone,426.52
11,St. Vital,Brian Mayes,01/01/2014,MTS Communications,,MTS Account,Telephone,93.34
1,Old Kildonan,Devi Sharma,01/01/2014,MTS Communications,,MTS Account,Telephone,209.63
2,Mynarski,Ross Eadie,01/01/2014,MTS Communications,,MTS Account,Telephone,83.56
3,Point Douglas,Mike Pagtakhan,01/01/2014,MTS Communications,,MTS Account,Telephone,58.94
4,Daniel McIntyre,Harvey Smith,01/01/2014,MTS Communications,,MTS Account,Telephone,85.49
5,St. James - Brooklands,Scott Fielding,01/01/2014,MTS Communications,,MTS Account,Telephone,85.57
6,St. Charles,Grant Nordman,01/01/2014,MTS Communications,,MTS Account,Telephone,83.42
7,Charleswood - Tuxedo,Paula Havixbeck,01/01/2014,MTS Communications,,MTS Account,Telephone,74.22
8,River Heights - Fort Garry,John Orlikow,01/01/2014,MTS Communications,,MTS Account,Telephone,60.66
9,Fort Rouge - East Fort Garry,Jenny Gerbasi,01/01/2014,MTS Communications,,MTS Account,Telephone,83.69
10,St. Norbert,Justin Swandel,01/01/2014,MTS Communications,,MTS Account,Telephone,60.42
12,St. Boniface,Daniel Vandal,01/01/2014,MTS Communications,,MTS Account,Telephone,60.65
13,Transcona,Russ Wyatt,01/01/2014,MTS Communications,,MTS Account,Telephone,86.35
14,Elmwood - East Kildonan,Thomas Steen,01/01/2014,MTS Communications,,MTS Account,Telephone,58.24
15,North Kildonan,Jeff Browaty,01/01/2014,MTS Communications,,MTS Account,Telephone,58.53
0,Mayor's Office,Sam Katz,01/01/2014,MTS Mobility,Mayor's Expenses,MTS Account,Telephone,552.63
1,Old Kildonan,Devi Sharma,01/01/2014,MTS Mobility,,MTS Account,Telephone,135.05
2,Mynarski,Ross Eadie,01/01/2014,MTS Mobility,,MTS Account,Telephone,124.98
3,Point Douglas,Mike Pagtakhan,01/01/2014,MTS Mobility,,MTS Account,Telephone,172.15
4,Daniel McIntyre,Harvey Smith,01/01/2014,MTS Mobility,,MTS Account,Telephone,82.67
5,St. James - Brooklands,Scott Fielding,01/01/2014,MTS Mobility,,MTS Account,Telephone,202.71
6,St. Charles,Grant Nordman,01/01/2014,MTS Mobility,,MTS Account,Telephone,111.57
7,Charleswood - Tuxedo,Paula Havixbeck,01/01/2014,MTS Mobility,,MTS Account,Telephone,126.47
8,River Heights - Fort Garry,John Orlikow,01/01/2014,MTS Mobility,,MTS Account,Telephone,115.11
9,Fort Rouge - East Fort Garry,Jenny Gerbasi,01/01/2014,MTS Mobility,,MTS Account,Telephone,178.63
10,St. Norbert,Justin Swandel,01/01/2014,MTS Mobility,,MTS Account,Telephone,1227.21
11,St. Vital,Brian Mayes,01/01/2014,MTS Mobility,,MTS Account,Telephone,60.21
12,St. Boniface,Daniel Vandal,01/01/2014,MTS Mobility,,MTS Account,Telephone,307.95
14,Elmwood - East Kildonan,Thomas Steen,01/01/2014,MTS Mobility,,MTS Account,Telephone,150.28
15,North Kildonan,Jeff Browaty,01/01/2014,MTS Mobility,,MTS Account,Telephone,148.43
0,Mayor's Office,Sam Katz,11/01/2014,City of Winnipeg - Journal Entry,Mayor's Expenses,Salary & Benefits,Payroll,-5875.04
5,St. James - Brooklands,Scott Fielding,11/01/2014,City of Winnipeg - Journal Entry,,Burdens Redistribution - S-01-14,Non-Professional Services,-54.93
9,Fort Rouge - East Fort Garry,Jenny Gerbasi,11/01/2014,City of Winnipeg - Journal Entry,,Burdens Redistribution - S-01-14,Non-Professional Services,-105.55
14,Elmwood - East Kildonan,Thomas Steen,11/01/2014,City of Winnipeg - Journal Entry,,Burdens Redistribution - S-01-14,Non-Professional Services,54.93
15,North Kildonan,Jeff Browaty,11/01/2014,City of Winnipeg - Journal Entry,,Burdens Redistribution - S-01-14,Non-Professional Services,105.55
0,Mayor's Office,Sam Katz,11/01/2014,City of Winnipeg - Payroll,Mayor's Expenses,Salary & Benefits,Payroll,30812.67
2,Mynarski,Ross Eadie,11/01/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,1811.47
3,Point Douglas,Mike Pagtakhan,11/01/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,1928.95
4,Daniel McIntyre,Harvey Smith,11/01/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,2268.37
5,St. James - Brooklands,Scott Fielding,11/01/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,2019.21
6,St. Charles,Grant Nordman,11/01/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,2388.11
8,River Heights - Fort Garry,John Orlikow,11/01/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,2246.77
9,Fort Rouge - East Fort Garry,Jenny Gerbasi,11/01/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,2244.90
10,St. Norbert,Justin Swandel,11/01/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,1888.72
11,St. Vital,Brian Mayes,11/01/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,1981.54
12,St. Boniface,Daniel Vandal,11/01/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,2385.50
13,Transcona,Russ Wyatt,11/01/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,2327.00
14,Elmwood - East Kildonan,Thomas Steen,11/01/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,2706.91
15,North Kildonan,Jeff Browaty,11/01/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,1480.00
11,St. Vital,Brian Mayes,15/01/2014,Benchmark Advertising Ltd,,Rental - Benches,Advertising,420.00
8,River Heights - Fort Garry,John Orlikow,15/01/2014,Centro Caboto Centre,,Winter/Spring Prgm Guide,Advertising,202.50
3,Point Douglas,Mike Pagtakhan,15/01/2014,City of Winnipeg - Journal Entry,,"Internal Printing Charges - Interdepartmental, Departmental And Interfund Recoveries","Printing,Binding,Photocopying",11.90
11,St. Vital,Brian Mayes,15/01/2014,City of Winnipeg - Journal Entry,,"Internal Printing Charges - Interdepartmental, Departmental And Interfund Recoveries","Printing,Binding,Photocopying",21.77
0,Mayor's Office,Sam Katz,15/01/2014,Judy Mcpherson,Mayor's Expenses,Honourarium,Protocol,100.00
8,River Heights - Fort Garry,John Orlikow,15/01/2014,Linden Woods Community Association,,Spring 2014 Session,Advertising,325.00
0,Mayor's Office,Sam Katz,15/01/2014,Manitoba Living History Society,Mayor's Expenses,Honourarium,Protocol,100.00
13,Transcona,Russ Wyatt,15/01/2014,Mts Inc,,Cell Phone Bill,Telephone-Cellular,89.80
13,Transcona,Russ Wyatt,15/01/2014,Mts Inc,,Tax,Telephone-Cellular,0.62
13,Transcona,Russ Wyatt,15/01/2014,Mts Inc,,Wireless,Telephone-Cellular,107.13
10,St. Norbert,Justin Swandel,15/01/2014,University Of Winnipeg,,Friends Of The Carol Shields,Contrib-Donations,200.00
5,St. James - Brooklands,Scott Fielding,15/01/2014,Winnipeg Outdoor Marketing Group Inc,,Recycle Box -Advertising,Advertising,92.50
10,St. Norbert,Justin Swandel,16/01/2014,Benchmark Advertising Ltd,,Current Month,Advertising,270.00
11,St. Vital,Brian Mayes,16/01/2014,Glenwood Community Centre,,Sign Rental,Advertising,300.00
5,St. James - Brooklands,Scott Fielding,16/01/2014,Imperial Parking Canada Corporation,,"Mpc Jan 1-31, 2014",Parking Space Rental,210.00
6,St. Charles,Grant Nordman,16/01/2014,Imperial Parking Canada Corporation,,"Mpc Jan 1-31, 2014",Parking Space Rental,210.00
10,St. Norbert,Justin Swandel,16/01/2014,Imperial Parking Canada Corporation,,"Mpc Jan 1-31, 2014",Parking Space Rental,210.00
13,Transcona,Russ Wyatt,16/01/2014,Imperial Parking Canada Corporation,,"Mpc Jan 1-31, 2014",Parking Space Rental,210.00
2,Mynarski,Ross Eadie,16/01/2014,Indian & Metis Friendship Centre,,Wall Advertisement,Advertising,750.00
10,St. Norbert,Justin Swandel,16/01/2014,International Association For Public,,Registration,Conferences,1650.00
6,St. Charles,Grant Nordman,16/01/2014,Kirkfield Westwood Community,,Sign Keith Bodley Arena,Advertising,400.00
6,St. Charles,Grant Nordman,16/01/2014,Kw 8a1 Kodiaks,,Program Advertising,Advertising,100.00
11,St. Vital,Brian Mayes,16/01/2014,La Liberte,,Subsciption Renewal,Periodicals and Subscriptions,61.65
1,Old Kildonan,Devi Sharma,16/01/2014,Manitoba Blue Cross,,Jan-14,Non-Professional Services,252.88
1,Old Kildonan,Devi Sharma,16/01/2014,Manitoba Blue Cross,,Jan-14,Blue Ribbon,7.29
2,Mynarski,Ross Eadie,16/01/2014,Manitoba Blue Cross,,Jan-14,Non-Professional Services,107.01
3,Point Douglas,Mike Pagtakhan,16/01/2014,Manitoba Blue Cross,,Jan-14,Non-Professional Services,266.00
4,Daniel McIntyre,Harvey Smith,16/01/2014,Manitoba Blue Cross,,Jan-14,Non-Professional Services,267.43
5,St. James - Brooklands,Scott Fielding,16/01/2014,Manitoba Blue Cross,,Jan-14,Non-Professional Services,266.00
6,St. Charles,Grant Nordman,16/01/2014,Manitoba Blue Cross,,Jan-14,Non-Professional Services,108.18
8,River Heights - Fort Garry,John Orlikow,16/01/2014,Manitoba Blue Cross,,Jan-14,Non-Professional Services,266.59
9,Fort Rouge - East Fort Garry,Jenny Gerbasi,16/01/2014,Manitoba Blue Cross,,Jan-14,Non-Professional Services,264.25
11,St. Vital,Brian Mayes,16/01/2014,Manitoba Blue Cross,,Jan-14,Non-Professional Services,107.01
12,St. Boniface,Daniel Vandal,16/01/2014,Manitoba Blue Cross,,Jan-14,Non-Professional Services,259.59
1,Old Kildonan,Devi Sharma,16/01/2014,Manitoba Blue Cross,,Benefits,Non-Professional Services,260.17
2,Mynarski,Ross Eadie,16/01/2014,Manitoba Blue Cross,,Benefits,Non-Professional Services,107.01
3,Point Douglas,Mike Pagtakhan,16/01/2014,Manitoba Blue Cross,,Benefits,Non-Professional Services,266.00
4,Daniel McIntyre,Harvey Smith,16/01/2014,Manitoba Blue Cross,,Benefits,Non-Professional Services,267.46
5,St. James - Brooklands,Scott Fielding,16/01/2014,Manitoba Blue Cross,,Benefits,Non-Professional Services,266.00
6,St. Charles,Grant Nordman,16/01/2014,Manitoba Blue Cross,,Benefits,Non-Professional Services,108.18
8,River Heights - Fort Garry,John Orlikow,16/01/2014,Manitoba Blue Cross,,Benefits,Non-Professional Services,266.58
9,Fort Rouge - East Fort Garry,Jenny Gerbasi,16/01/2014,Manitoba Blue Cross,,Benefits,Non-Professional Services,264.25
11,St. Vital,Brian Mayes,16/01/2014,Manitoba Blue Cross,,Benefits,Non-Professional Services,107.01
12,St. Boniface,Daniel Vandal,16/01/2014,Manitoba Blue Cross,,Benefits,Non-Professional Services,259.59
15,North Kildonan,Jeff Browaty,16/01/2014,Manitoba Blue Cross,,Benefits,Non-Professional Services,529.08
11,St. Vital,Brian Mayes,16/01/2014,Manitoba Eco Network Inc,,Eco Journal,Advertising,100.00
12,St. Boniface,Daniel Vandal,16/01/2014,Paroisse Du Precieux Sang,,Prelevement De Fonds,"Luncheons, Receptions & Events",250.00
4,Daniel McIntyre,Harvey Smith,16/01/2014,Rogers Wireless Inc,,Wireless,Internet Access,134.68
6,St. Charles,Grant Nordman,16/01/2014,Sean Angus Lyon,,Airfare - Cdn Capital Cities,Travel-City Business,577.85
6,St. Charles,Grant Nordman,16/01/2014,Sean Angus Lyon,,Assiniboia Community Committee,Business Meetings,91.73
15,North Kildonan,Jeff Browaty,16/01/2014,Shaw Cable,,Monthly Billing,Television Cable,63.67
4,Daniel McIntyre,Harvey Smith,16/01/2014,Shaw Cable,,Mthly Billing,Television Cable,80.95
0,Mayor's Office,Sam Katz,17/01/2014,Allstream Inc,Mayor's Expenses,Service,Telephone,10.80
3,Point Douglas,Mike Pagtakhan,17/01/2014,Benchmark Advertising Ltd,,Current Month,Advertising,270.00
5,St. James - Brooklands,Scott Fielding,17/01/2014,Benchmark Advertising Ltd,,Current Month,Advertising,270.00
6,St. Charles,Grant Nordman,17/01/2014,Benchmark Advertising Ltd,,Current Month,Advertising,540.00
11,St. Vital,Brian Mayes,17/01/2014,Brian Mayes,,South Perimeter Town Hall,Postage,98.10
12,St. Boniface,Daniel Vandal,17/01/2014,College Beliveau,,Vivre La Difference,Contrib-Sponsorships-Cash,150.00
11,St. Vital,Brian Mayes,17/01/2014,Indo-Canadian Telegram Inc,,1/8 Page Color,Advertising,810.00
0,Mayor's Office,Sam Katz,17/01/2014,Judy Mcpherson,Mayor's Expenses,Honourarium,Protocol,-100.00
7,Charleswood - Tuxedo,Paula Havixbeck,17/01/2014,Pegasus Publications Inc,,Lifestyles Magazine,Advertising,250.00
10,St. Norbert,Justin Swandel,17/01/2014,Pembina Active Living (55+),,Newsletter Inserts,Advertising,87.50
3,Point Douglas,Mike Pagtakhan,17/01/2014,Pilipino Express News Magazine,,Business Card Sized,Advertising,44.00
4,Daniel McIntyre,Harvey Smith,17/01/2014,Planners Network,,Planners Network,Membership Fees,40.00
3,Point Douglas,Mike Pagtakhan,17/01/2014,The Ups Store,,Banner & Poster,Contrib-Donations,217.21
12,St. Boniface,Daniel Vandal,17/01/2014,Winnipeg Free Press,,Festival Du Voyager,Advertising,595.00
10,St. Norbert,Justin Swandel,17/01/2014,Winnipeg Outdoor Marketing Group Inc,,Recycle Box,Advertising,180.00
0,Mayor's Office,Sam Katz,20/01/2014,City of Winnipeg - Journal Entry,Mayor's Expenses,Postage Regular Parcel,Postage,4.66
5,St. James - Brooklands,Scott Fielding,20/01/2014,St James Assiniboia 55+ Centre,,Annual Newsletter,Advertising,100.00
6,St. Charles,Grant Nordman,20/01/2014,St James Assiniboia 55+ Centre,,Annual Newsletter,Advertising,60.00
11,St. Vital,Brian Mayes,21/01/2014,City of Winnipeg - Journal Entry,,Kiosk 114001 - St Vital Curling Club - Councillor Mayes,Contrib-Donations,72.54
9,Fort Rouge - East Fort Garry,Jenny Gerbasi,21/01/2014,City of Winnipeg - Journal Entry,,Kiosk 114004 - Riverview'S 80th Anniversary And Hockey Tournament - Councillor Gerbasi,Contrib-Donations,42.29
0,Mayor's Office,Sam Katz,22/01/2014,City of Winnipeg - Journal Entry,Mayor's Expenses,Sundry Deposit.,"Luncheons, Receptions & Events",-130.00
0,Mayor's Office,Sam Katz,22/01/2014,Unisource Canada Inc,Mayor's Expenses,-Printed Material,Protocol,196.02
8,River Heights - Fort Garry,John Orlikow,23/01/2014,Fast Company,,Year Subscription,Periodicals and Subscriptions,16.50
0,Mayor's Office,Sam Katz,24/01/2014,Bel-Ayre Rentals Ltd,Mayor's Expenses,140th Anniversary Reception,Protocol,184.90
12,St. Boniface,Daniel Vandal,24/01/2014,Benchmark Advertising Ltd,,Current Month,Advertising,910.00
3,Point Douglas,Mike Pagtakhan,24/01/2014,Casa Dos Acores Azorean Cultural,,Christmas Party,Contrib-Donations,208.97
6,St. Charles,Grant Nordman,24/01/2014,City of Winnipeg - Journal Entry,,"Interdepartmental Payment For Invoice # 1153 - Councillor Grant Nordman For Arena Advertising January 1st - February 28th, 2014",Advertising,58.63
7,Charleswood - Tuxedo,Paula Havixbeck,24/01/2014,City of Winnipeg - Journal Entry,,"Interdepartmental Payment For Invoice # 996 - Councillor Paula Havexbeck  For Arena Advertising January 1st - February 1st, 2014",Advertising,29.32
10,St. Norbert,Justin Swandel,24/01/2014,City of Winnipeg - Journal Entry,,Kiosk 114008 - Police Canine Unit - Councillor Swandel,Contrib-Donations,101.93
8,River Heights - Fort Garry,John Orlikow,24/01/2014,City of Winnipeg - Journal Entry,,Kiosk 114009 - Ecole Robert H Smith School Community Breakfast - Councillor Orlikow,Contrib-Donations,39.48
13,Transcona,Russ Wyatt,24/01/2014,Jeremiah Kopp,,Phone Reimbursement,Telephone-Cellular,86.71
6,St. Charles,Grant Nordman,24/01/2014,Making Waves Winnipeg,,Gala Dinner,"Luncheons, Receptions & Events",480.00
1,Old Kildonan,Devi Sharma,24/01/2014,Mts Inc,,Internet,Internet Access,78.79
13,Transcona,Russ Wyatt,24/01/2014,Mts Inc,,Wireless,Telephone-Cellular,90.34
4,Daniel McIntyre,Harvey Smith,24/01/2014,Municipal World Inc,,Municipal Magazine,Periodicals and Subscriptions,49.50
3,Point Douglas,Mike Pagtakhan,24/01/2014,Philippine Basketball Association,,Banners For Association,Contrib-Donations,411.07
13,Transcona,Russ Wyatt,24/01/2014,Philippine Basketball Association,,Season Fundrainsing,Contrib-Donations,200.00
3,Point Douglas,Mike Pagtakhan,24/01/2014,Pilipino Express News Magazine,,Business Card Sized,Advertising,44.00
11,St. Vital,Brian Mayes,24/01/2014,Provincial Council Of Women Of,,High Tea,"Luncheons, Receptions & Events",50.00
5,St. James - Brooklands,Scott Fielding,24/01/2014,The Assiniboia Chamber Of Commerce,,Membership Fee,Membership Fees,175.00
2,Mynarski,Ross Eadie,24/01/2014,Trident Press Ltd,,Ukrainian Voice,Advertising,75.00
3,Point Douglas,Mike Pagtakhan,24/01/2014,Ultimate Internet,,Domain Redistration,Website/Domain Licenses,50.00
14,Elmwood - East Kildonan,Thomas Steen,24/01/2014,Unemployed Youth Charity Africa Inc,,Advertisement In Support,Advertising,200.00
4,Daniel McIntyre,Harvey Smith,24/01/2014,Winnipeg Free Press,,Subscription,Periodicals and Subscriptions,78.34
12,St. Boniface,Daniel Vandal,24/01/2014,Winnipeg Outdoor Marketing Group Inc,,Recycle Box,Advertising,360.00
0,Mayor's Office,Sam Katz,01/02/2014,MTS Mobility,Mayor's Expenses,MTS Account,Telephone,575.49
5,St. James - Brooklands,Scott Fielding,25/01/2014,City of Winnipeg - Journal Entry,,Burdens Redistribution - S-02-14,Non-Professional Services,-54.93
9,Fort Rouge - East Fort Garry,Jenny Gerbasi,25/01/2014,City of Winnipeg - Journal Entry,,Burdens Redistribution - S-02-14,Non-Professional Services,-105.55
14,Elmwood - East Kildonan,Thomas Steen,25/01/2014,City of Winnipeg - Journal Entry,,Burdens Redistribution - S-02-14,Non-Professional Services,54.93
15,North Kildonan,Jeff Browaty,25/01/2014,City of Winnipeg - Journal Entry,,Burdens Redistribution - S-02-14,Non-Professional Services,105.55
0,Mayor's Office,Sam Katz,25/01/2014,City of Winnipeg - Payroll,Mayor's Expenses,Salary & Benefits,Payroll,31143.22
1,Old Kildonan,Devi Sharma,25/01/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,1033.86
2,Mynarski,Ross Eadie,25/01/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,1812.31
3,Point Douglas,Mike Pagtakhan,25/01/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,1929.79
4,Daniel McIntyre,Harvey Smith,25/01/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,2269.21
5,St. James - Brooklands,Scott Fielding,25/01/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,2019.21
6,St. Charles,Grant Nordman,25/01/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,2388.12
8,River Heights - Fort Garry,John Orlikow,25/01/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,2246.74
9,Fort Rouge - East Fort Garry,Jenny Gerbasi,25/01/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,2001.78
10,St. Norbert,Justin Swandel,25/01/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,1888.74
11,St. Vital,Brian Mayes,25/01/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,1982.38
